id,name,living_location,last_paid,credit_score,rent_expire_at
fda4d558-0a1e-434f-94a4-11c663422648,Eric R. Andrzejewski,cb1b42cc-cbdb-4ad2-85f9-5720acc932b1,2019-03-28,677,2019-10-28
acf02176-a4e9-4b00-81ac-f02747b103e1,Victoria A. Camacho,a2b48f8e-dc07-45b7-b150-0b923fd84fc1,2019-03-29,735,2019-09-28
1aad6882-c341-45c9-8f0f-13d54efa7812,Jean W. Mullen,571d0a0d-7c91-4528-93b7-754c8fc5db2f,2019-03-29,757,2019-07-29
ad4cabfe-ea7f-4d07-9549-d2260bd06fce,Alice H. Engel,b6f46fda-1444-416f-9af4-b71455de0068,2019-03-29,738,2019-11-28
66024bb9-bb44-48c2-910e-1965e9cb17ee,Shannon L. Daley,78d04b72-9bcc-49b5-a58d-3276f0f46b14,2019-04-01,671,2019-11-01
a112df0a-bb4f-4d87-a874-2856c0e851f9,Dorothy H. Kirkendall,07cfb301-6285-4065-811c-5a33156ae403,2019-04-04,667,2019-09-01
c734dbc3-4d39-48ac-8848-f2f62a115029,Steven M. Shields,8595e756-18e1-4a16-b5b4-036a744dfc76,2019-04-05,701,2019-07-04
8973c218-01b7-4eb4-8bea-8129e0fec3ed,Robert E. Madewell,bf1a423e-0515-4135-aae1-c76d69f6ca4f,2018-04-14,727,2019-11-14
a62d7188-1217-4da4-b965-1e65c97158d7,Michele D. Meader,d48e29d7-f28e-42ef-8eaa-daeefbfbefe5,2019-04-20,719,2019-11-23
b0f99053-42da-4392-90ac-ac9c90b18151,Ina D. Sanders,09b55c33-d3d0-4a5c-b195-f7f0ff752534,2019-04-02,6692,2020-02-28
6d765b46-60cc-400e-8756-a6334a12ed2f,Ronald K. Payton,f745a9b4-42f6-473f-a94a-4aec6a7172f7,2019-04-12,749,2019-12-03
6a83b3ff-a177-47c1-b1b1-64c4dd0c9414,Marilee W. Anderson,8b156dfd-c461-46bc-b0d8-38433f6a2a8b,2019-04-03,707,2019-09-01
5d05c67b-051d-4a96-9396-6edee17169d7,Angie D. Jones,d5d1931e-3a3a-4fa6-b007-00bb781a0472,2019-04-04,716,2019-08-04
c1a64c01-62d4-4e47-9f45-19d329a70003,Steve M. Pierson,2eb72a84-d51c-4da0-887e-eef07373fc25,2019-04-10,760,2020-01-01
2f19cc81-9c85-4a95-96fd-388bf54ff6a1,Tain Ho,f1e0e405-496c-43c3-9044-9899934bb3df,2019-04-01,676,2020-04-01
8fcc1996-f7a2-4ada-8d7c-a2af4daa450f,Cai Pan,aa7a351e-5789-4813-86b7-073fa80a0b9c,2019-04-13,722,2019-12-12
64ea4ea5-c2e3-4371-bb48-0a68a6a4f4ce,Lelia Cocci,0341ed25-266a-420f-a34a-387257a50aba,2019-04-02,729,2020-01-02
ffafa2d2-7de4-4398-8223-61d1bf428ad4,Aron Adamski,576c8038-2a0e-4e7a-b9ab-f6cdf9ff79f6,2019-03-30,684,2019-10-28
